,connotation_of_song,genre_of_song,energy_of_song,new_vs_old_song
you belong with me 3:51,negative,country,5,0
lover 3:41,positive,pop,4,0
"""invisible string"" (4:12)",positive,pop,6,1
"""Karma"" (3:24)",negative,pop,10,1
"""Tim McGraw"" (3:54)",negative,country,4,0
"""Picture to Burn"" (2:55)",negative,county,7,0
"""Teardrops on My Guitar"" (3:35)",negative,country,6,0
"""Our Song"" (3:24)",positive,country,8,0
"""Fearless"" (4:01)",positive,country,8,0
"""Fifteen"" (4:54)",positive,country,5,0
"""Love Story"" (3:55)",positive,country,4,0
"""Mr. Perfectly Fine"" (4:37)",negative,pop,7,0
"""Mine"" (3:51)",positive,pop,6,0
"""Sparks Fly"" (4:21)",positive,pop,5,0
"""Back to December"" (4:54)",negative,pop,3,0
"""Speak Now"" (4:02)",neutral,pop,8,0
"""Dear John"" (6:45)",negative,pop,3,0
"""Mean"" (3:58)",negative,pop,9,0
"""The Story of Us"" (4:27)",negative,pop,10,0
"""Better than Revenge"" (3:40)",negative,pop,10,0
"""Innocent"" (5:01)",negative,pop,5,0
"""Haunted"" (4:05)",negative,pop,5,0
"""I Can See You"" (4:33)",neutral,pop,9,0
"""End Game"" (featuring Ed Sheeran and Future"" (4:04)",negative,rap,10,0
"""I Did Something Bad"" (3:58)",negative,pop,10,0
"""Don't Blame Me"" (3:56)",neutral,rap,9,0
"""Anti-Hero"" (3:20)",positive,pop,10,1
"""Snow on the Beach (ft. Lana Del Rey) (4:16)",neutral,pop,3,1
"""Youâ€™re on Your Own, Kid"" (3:14)",negative,pop,4,1
"""Midnight Rain"" (2:54)",neutral,pop,7,1